enrollment_id,student_id,course_id,grade
1,18665,446,C
2,4612,708,D
3,49872,18,B
4,31653,366,A
5,43320,315,D
6,4569,340,D
7,47751,523,B
8,5805,357,B
9,4556,241,D
10,33397,183,A
11,14429,454,F
12,43884,510,F
13,17459,263,A
14,11184,902,C
15,38152,651,D
16,35722,868,D
17,31397,45,C
18,21661,836,D
19,36779,709,D
20,30289,416,B
21,21702,380,B
22,19334,367,D
23,46825,62,B
24,4799,141,D
25,3673,554,A
26,26735,24,A
27,9407,824,D
28,16161,591,A
29,15701,426,A
30,41159,686,C
31,34838,539,D
32,8825,607,C
33,14687,353,D
34,7850,326,B
35,6010,681,A
36,33308,816,B
37,29606,274,C
38,5699,922,D
39,22825,642,B
40,732,498,D
41,47661,90,D
42,37229,535,B
43,46397,625,B
44,2074,924,A
45,46318,321,B
46,32145,277,C
47,9381,6,C
48,40168,287,D
49,24995,248,B
50,12166,6,B
51,2369,375,A
52,2164,23,C
53,39558,954,B
54,29223,154,A
55,36696,437,B
56,33534,960,C
57,34337,617,D
58,40121,336,F
59,29342,822,B
60,2504,69,C
61,42585,888,D
62,39688,984,D
63,42026,753,A
64,22629,769,C
65,7027,905,B
66,7886,698,D
67,43049,355,A
68,43267,785,F
69,5002,185,C
70,22409,676,D
71,35468,529,C
72,47515,667,F
73,12666,86,C
74,30605,417,D
75,5595,702,D
76,10086,33,D
77,35050,321,A
78,46645,758,F
79,1254,540,B
80,6695,532,B
81,31030,45,D
82,6572,410,D
83,6921,357,B
84,25166,625,F
85,34188,337,C
86,21218,943,B
87,5055,761,B
88,23331,601,C
89,3280,554,C
90,47579,412,A
91,29238,148,B
92,34300,754,B
93,44605,379,F
94,33842,363,A
95,28495,78,D
96,38614,912,A
97,42216,970,F
98,45643,759,C
99,19173,26,B
100,33359,424,D
101,16334,777,C
102,32612,720,D
103,35715,290,B
104,47978,167,D
105,17845,450,A
106,48936,925,B
107,39018,701,B
108,28587,128,F
109,20613,891,C
110,16552,925,F
111,39787,915,B
112,45675,517,D
